N,P,K,pH,Moisture,Rainfall,Humidity,Temperature,Label,Season,Soil_Type,Location,Sowing_Time,Fertilizer,Compost,Pest_Control
32,41,16,7.702287236,27,68.54877876,61.39451307,28.63618921,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
30,41,15,5.88509677,21,52.0810886,44.17085032,24.83206631,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
19,36,22,6.16496284,23,57.04826619,58.55363573,25.44689075,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
4,46,15,3.504752314,26,63.77192383,62.40392519,31.01274943,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
21,39,20,7.388007482999999,24,60.74583498,52.3003173,27.06179658,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
35,57,25,8.340398059,28,71.12710390000002,42.26206161,27.0956288,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
22,55,24,8.66077954,26,64.53027638,57.30636014,28.56800579,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
35,51,17,3.558822825,16,40.85534718,49.84213387,28.79929247,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
17,56,17,5.9565851,28,69.66289997,45.41393636,27.94293692,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
28,57,17,9.416003106,25,61.86633917,61.58245338,30.47757686,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
22,36,16,8.18422855,26,64.58559639,50.77148138,30.58139475,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
11,41,19,5.131779302,18,44.13827124,41.81420849,26.85911286,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
38,38,18,6.294130312999999,14,35.73403813,61.18749126,26.31051759,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
23,37,24,7.991902443,14,33.95825723,44.2252605,28.77833449,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
25,35,20,8.923095695,29,71.90018566,43.35365671,28.90245417,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
40,45,20,6.878498176,15,38.34303462,57.69622912,29.37687468,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
23,58,19,5.243634848999999,24,59.18953429,58.25204566,24.17093241,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
2,56,23,7.550090941,15,36.91852635,59.79023382,26.65333029,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
3,56,17,8.709291687999999,21,52.13580529,53.50567601,28.19912143,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
26,51,25,7.792508067999999,22,55.21606732,52.62741529,28.76488954,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
39,42,20,8.055908857999999,16,40.82840673,61.25353851,29.3499706,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
27,59,20,4.397698806,14,36.01203025,52.60950014,28.00937423,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
24,45,19,5.9523849570000005,14,34.7426459,48.8246387,26.85851927,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
7,40,17,8.532078732999999,22,53.78769958,40.92604945,31.2123945,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
15,45,23,7.224193642,18,46.0203959,61.43378674,24.20422636,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
26,52,23,4.931890506,21,52.92929636,49.60384796,29.98835437,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
20,45,16,4.626212446,18,45.43669946,54.61813464,29.93964907,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
34,54,24,5.026003659,28,68.80141783,41.55934359,31.2119298,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
19,51,25,3.5253661,18,43.87801983,48.23991436,26.80474415,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
29,41,21,8.86979671,26,64.56807592,62.84916863,31.49398069,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
20,50,22,9.406887532999999,15,38.31597852,46.42693735,30.99694676,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
11,40,23,5.80428611,20,50.1978269,63.04749127,29.61253065,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
15,54,15,8.35495812,18,44.86052932,57.03184356,29.97604322,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
35,55,22,8.634929739,22,55.51932414,52.62696801,30.88883074,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
9,59,25,7.699200949,14,35.37493212,60.16299493,30.39321309,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
40,45,18,5.261285926,12,30.92014047,55.20522037,30.43683729,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
35,38,19,9.112771682,13,32.71129281,63.18180319,25.32688786,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
14,58,17,4.605700542,13,33.48919022,59.96664731,30.53684308,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
40,55,18,7.115994051,19,47.95406479,40.5926071,30.38257873,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
18,36,23,7.214078621,14,35.03404425,53.76623369,24.01825377,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
35,52,15,9.93509073,26,65.67591794,61.14754363,28.69841277,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
4,59,22,8.914074888,17,42.44054315,49.00323081,29.33743412,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
22,51,16,8.639586199,28,70.10472076,61.34900107,27.96583691,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
33,47,17,8.621514073,26,63.9187654,48.27531965,24.86803974,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
2,51,17,5.838508699,15,38.53254678,45.96341933,25.87682261,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
16,51,21,3.532008668,13,32.81296548,49.97675220000001,31.01963639,mothbeans,Unknown,Any,Any,Any,NPK,Compost,None
19,55,20,7.18530147,22,54.73367631,87.80507732,27.43329405,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
8,54,20,7.034214276,16,38.7976407,80.77275974,28.3340432,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
36,55,20,6.635968697999999,22,55.296354,84.34262707,27.01470397,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
10,56,16,6.828187498999998,15,36.35720652,81.04554836,28.17432665,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
22,56,17,6.89077995,18,44.75215854,87.32761241,29.87888063,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
9,57,24,7.165121108999998,17,42.99498978,89.71503316,29.89232778,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
34,59,23,6.935804256,23,56.48265193,83.24855855,28.56212158,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
31,51,25,7.196774236,21,53.01899249,85.57019009999998,27.53592929,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
0,49,18,6.990095452,17,41.82490236,87.93598094,29.68361658,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
21,39,20,7.064782137999999,19,46.75690086,82.1193047,28.14448546,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
28,35,22,7.156563094,24,59.87232071,86.73346018,29.53037621,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
17,52,17,6.364967184,18,44.64407105,86.45147631,27.88352946,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
24,42,23,6.428054409,18,44.01206619,82.35916228,28.22471276,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
28,46,16,6.664187809,18,45.91011391,84.96089355,29.008124,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
21,38,21,6.637677489,15,37.54602719,86.45193297,29.75538903,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
34,60,25,6.79385576,16,40.77872823,85.16906976,29.78416743,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
19,53,22,6.852884642999999,17,42.83053902,80.4513142,27.8640132,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
31,58,15,7.121571293,21,51.52617423,84.96771717,27.11026483,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
19,35,24,6.883308033,20,49.11964582,83.64274107,27.11030369,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
24,53,17,6.421271178,23,57.65901369,89.07866095,28.95451232,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
13,47,20,6.54450214,17,43.1386631,87.93724219,29.21780035,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
31,53,16,6.452006451,19,48.54598575,85.81675947,28.7420098,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
28,45,23,6.489259136,23,56.76278363,80.29868321,29.65021184,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
31,37,21,6.713410626,15,37.31236904,86.404241,27.23924995,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
33,60,15,6.510840928,23,56.51103293,81.67085323,28.95172351,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
34,45,21,6.2873801170000005,15,37.01110438,82.60629652,28.18837136,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
13,57,25,6.86308576,20,50.47333854,86.20681554,28.30041493,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
33,57,17,6.78415271,23,57.79863368,88.71782287,27.89636126,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
32,57,22,6.769415887999999,18,44.56598352,87.50436797,28.6899851,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
23,59,25,6.320768488,23,56.68833819,88.73100226,27.826262300000003,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
35,41,18,6.7050085039999985,24,59.87065439,81.59200689,28.70562673,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
6,48,24,6.790736339,19,48.48319335,84.61431076,28.6362812,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
29,36,25,7.130278657000001,19,48.56690235,88.4393979,28.28511547,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
4,36,22,7.012740397000001,18,43.80041104,86.13316408,27.60887393,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
10,59,22,7.1556850160000005,15,36.94616965,86.99495766,28.60901145,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
14,48,21,6.991242362,21,53.43228915,84.80084105,29.24598976,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
8,50,21,6.218923893,20,50.49913241,89.11480590000002,28.62911222,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
20,40,15,7.199495367999999,18,45.04467075,88.07505524,29.57329479,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
36,43,22,6.3898821660000005,23,58.37249772,87.16679147,27.82684262,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
14,57,15,6.623438282,16,40.12044158,83.14796296,29.8757015,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
11,60,23,7.033012777000001,20,51.09802625,88.50229102,27.33684386,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
10,59,15,6.32400451,24,58.86687093,89.30428305,29.83040388,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
7,60,25,6.397636709,22,56.04995423,82.76020821,28.2753171,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
2,47,15,6.401455706,23,58.41394143,85.99127934,29.86860065,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
20,45,22,6.904587016,22,54.96121262,89.9939693,29.5888162,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
2,39,15,6.478557136,20,49.61865305,82.9116472,28.07219563,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
27,40,24,7.063022095,21,52.84626009,89.99615558,27.84026517,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
35,48,15,6.981758362000001,22,55.03723979,87.45126690000002,27.10818093,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
4,59,25,6.227134139,22,54.62243308,81.94268594,27.68515114,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
1,48,24,6.232836962,24,59.03629954,85.60472562,29.34594634,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
36,43,21,7.140437859,21,52.93031105,84.8593608,28.36319404,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
11,46,24,6.459252023,23,56.52558045,89.80650642,27.65280218,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
34,47,19,6.5687954039999985,21,53.15223123,85.44815232,27.31372793,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
21,44,18,7.12851089,20,50.46746116,86.89934108,27.06909959,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
17,58,20,6.42937879,16,39.23831035,85.91625451,28.06642822,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
25,40,21,6.248900919,18,44.17580911,81.13903037,27.73329078,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
2,38,18,6.619891497999999,18,45.48591922,89.92908171,27.53632932,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
9,48,20,6.377568542000001,22,56.09542002,84.28187572,29.66461594,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
37,49,25,6.415459592,17,41.39081525,85.85384444,29.914544300000006,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
36,38,15,6.3206620120000006,23,57.99524359,87.59810657,28.36363858,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
40,58,15,6.978400282000001,17,43.15411472,87.60890009,29.46416042,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
30,44,16,6.442335592999999,20,50.91511275,82.89166381,29.73013036,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
1,59,23,7.184398832,18,43.78420984,87.17649,27.46852989,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
9,48,22,6.402926221,20,49.50812624,87.09979549,27.77076285,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
14,41,17,7.085982325,15,36.45012824,88.48312598,29.12939524,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
35,52,19,6.698574085,15,37.45680611,89.89593328,27.10606808,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
31,48,17,6.594739424,22,53.79732545,86.94206817,28.88078945,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
4,41,20,6.647965508,15,37.44800463,83.8001509,28.14720892,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
30,37,25,7.120032489,22,54.7960127,80.14487166,29.89129144,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
9,35,20,6.91380932,16,40.53173216,80.98004661,27.41503453,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
20,41,20,7.073048264,20,50.9246554,89.4875022,29.27308605,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
37,50,23,6.5304707,22,56.01913159,88.48587386,29.65296893,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
34,35,21,6.684381357,23,58.18713162,82.67639542,28.44524991,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
14,37,15,6.581351374,20,48.9366954,83.97586797,27.96235681,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
23,39,22,6.86483915,17,42.02483277,81.97952224,29.25649321,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
5,45,21,6.487124217000001,17,43.05130077,88.00989267,28.36291385,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
22,37,20,6.605733067999999,16,39.26137642,86.49366929,27.62749466,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
40,51,17,6.860602782000001,20,50.01534317,86.12194568,28.66086349,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
27,56,20,6.41874299,21,51.53848218,87.11497805,29.2114218,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
31,40,22,6.365513634,21,53.35486977,86.16063492,29.40889385,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
38,36,21,6.5563729660000005,14,36.12042927,84.8845732,28.02952623,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
6,37,17,6.760694227999999,15,38.14476781,80.35005927,28.08657178,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
6,47,18,6.715276662999999,16,40.16545979,80.28038146,29.16174608,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
24,44,17,6.666380512000001,20,50.66487502,80.03499648,29.8596912,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
25,59,19,6.626629798,18,43.95183726,83.6869203,29.06631494,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
32,56,21,6.702772465,23,58.29933073,88.66663953,27.38538997,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
8,45,18,7.011030515,17,43.25095608,85.42058715,27.93034941,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
19,39,17,6.890156495,18,44.47427436,81.8009244,29.2808618,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
39,37,15,6.821747052,24,59.84499208,83.78911515,28.9973145,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
33,37,19,7.183189922,17,43.4826194,86.5543196,27.92678579,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
26,54,17,6.27258822,20,49.4897245,88.9570454,28.5474135,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
21,51,15,6.679127482,19,48.30159325,89.1886954,29.36488409,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
22,54,20,6.689825155,16,41.013132,83.63802195,28.56149805,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
29,45,16,6.583381939,17,43.12063289,87.91332682,28.43683487,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
4,40,21,6.725551062,18,44.30070517,80.45744422,28.79728147,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
10,37,22,7.0697478139999985,23,58.52974279,89.12760359,28.7275267,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
4,44,19,6.921993877999999,17,43.25726752,83.52706038,27.95639663,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
20,45,17,6.770955317,15,37.2464655,83.69659318,28.17458662,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
23,45,23,6.983130466,22,56.12443206,86.69133979,28.77653519,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
25,48,21,6.267684328,21,52.55469976,83.48991368,28.438097,moong,Summer/Kharif/Rabi,Loamy,Plains,Mar-Apr,Bio-NPK,Green Manure,Whitefly
56,79,15,7.454532137,29,71.89090748,63.19915325,29.48439992,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
25,62,21,7.040056094,27,67.15096376,68.13999721,26.73433965,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
42,61,22,7.418650668,28,70.23207557,62.28814857,26.27274407,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
42,73,25,6.501869314,29,73.23573601,67.21113844,34.03679184,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
44,58,18,6.814410927999999,29,72.49507741,65.06601664,28.03644051,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
50,55,16,7.581442888,25,62.26242533,65.33538112,28.81460716,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
35,72,21,7.741418772,27,66.85510868,64.28791388,34.03619494,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
30,64,20,6.573531614,27,68.02199825,61.57072498,33.8642935,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
27,64,21,7.543804222999999,29,73.67166182,68.68401492,32.84213012,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
50,74,17,6.5408208,30,73.84949872,63.36085585,27.10053268,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
39,73,24,7.22405917,28,69.28607828,61.18235808,25.65842532,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
57,67,25,7.551364319,26,64.55882254,66.61452812,32.34744009,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
52,63,19,6.928898659,27,67.53021213,68.32176769,29.58949031,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
55,66,22,7.747775262999999,27,66.63830637,68.79427388,30.91219459,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
51,56,18,6.706505915,28,70.86340755,64.2097765,28.12787838,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
36,66,15,6.668238556,27,67.1367443,69.34811988,30.08545364,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
59,55,19,7.332375138,28,68.97097538,62.51007687,31.74379487,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
50,58,23,7.596802025,28,69.75555541,62.50460464,27.81326852,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
30,65,25,7.70650895,29,71.50569456,64.59457409,32.88733849,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
20,62,18,7.366542647,25,61.91208707,64.98742947,29.36358721,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
58,71,15,6.919243702,30,74.01229707,67.58618829999999,27.82592799,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
25,71,24,7.187721817999999,30,74.91559514,60.44848407,28.49538735,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
52,71,16,7.0758864720000005,29,71.78615328,68.53997144,27.74274761,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
40,63,18,6.74441168,25,63.02473185,67.66323804,30.41588462,urad,Summer/Kharif/Rabi,Heavy Loam,Central India,Jun-Jul,Sulphur-rich,Vermicompost,Hairy Caterpillar
